RPM,time,Count,0.017554881,0.017554881,Record time: 1670.856
49.4,0,0,,,
49.8,0.017554881,1,,,
50.5,0.035109762,2,,,
50.6,0.052664642,3,,,
51.3,0.070219523,4,,,
51.6,0.087774404,5,,,
50.9,0.105329285,6,,,
50.1,0.122884166,7,,,
50.2,0.140439046,8,,,
50.7,0.157993927,9,,,
50.7,0.175548808,10,,,
50.7,0.193103689,11,,,
50.3,0.21065857,12,,,
50,0.22821345,13,,,
50.1,0.245768331,14,,,
50,0.263323212,15,,,
50.4,0.280878093,16,,,
51.1,0.298432974,17,,,
50.4,0.315987854,18,,,
50.4,0.333542735,19,,,
50.2,0.351097616,20,,,
50.6,0.368652497,21,,,
50.5,0.386207378,22,,,
50.8,0.403762258,23,,,
51.7,0.421317139,24,,,
50.5,0.43887202,25,,,
50.5,0.456426901,26,,,
49.9,0.473981782,27,,,
51,0.491536662,28,,,
51,0.509091543,29,,,
51,0.526646424,30,,,
51,0.544201305,31,,,
52,0.561756186,32,,,
52.2,0.579311067,33,,,
50.8,0.596865947,34,,,
49.8,0.614420828,35,,,
50.3,0.631975709,36,,,
50.5,0.64953059,37,,,
50,0.667085471,38,,,
50,0.684640351,39,,,
49.8,0.702195232,40,,,
49.6,0.719750113,41,,,
49.3,0.737304994,42,,,
49.4,0.754859875,43,,,
50.1,0.772414755,44,,,
50,0.789969636,45,,,
49.8,0.807524517,46,,,
49.6,0.825079398,47,,,
49.4,0.842634279,48,,,
49.4,0.860189159,49,,,
49.7,0.87774404,50,,,
50.3,0.895298921,51,,,
49.8,0.912853802,52,,,
50.1,0.930408683,53,,,
50,0.947963563,54,,,
51,0.965518444,55,,,
51.8,0.983073325,56,,,
51.2,1.000628206,57,,,
51.2,1.018183087,58,,,
49,1.035737967,59,,,
40.4,1.053292848,60,,,
25.8,1.070847729,61,,,
25.8,1.08840261,62,,,
21.6,1.105957491,63,,,
23.5,1.123512371,64,,,
19.5,1.141067252,65,,,
13,1.158622133,66,,,
13,1.176177014,67,,,
9.6,1.193731895,68,,,
9.3,1.211286775,69,,,
7.2,1.228841656,70,,,
4.6,1.246396537,71,,,
4,1.263951418,72,,,
2.7,1.281506299,73,,,
1.6,1.299061179,74,,,
1.5,1.31661606,75,,,
1.1,1.334170941,76,,,
0.4,1.351725822,77,,,
0.4,1.369280703,78,,,
0.1,1.386835583,79,,,
0.1,1.404390464,80,,,
0.1,1.421945345,81,,,
0.1,1.439500226,82,,,
0.7,1.457055107,83,,,
1.2,1.474609987,84,,,
0.6,1.492164868,85,,,
0.5,1.509719749,86,,,
0.5,1.52727463,87,,,
1.6,1.544829511,88,,,
0.9,1.562384392,89,,,
0,1.579939272,90,,,
1.1,1.597494153,91,,,
1.2,1.615049034,92,,,
0.2,1.632603915,93,,,
1.2,1.650158796,94,,,
0.8,1.667713676,95,,,
0.3,1.685268557,96,,,
0.3,1.702823438,97,,,
0.4,1.720378319,98,,,
1.2,1.7379332,99,,,
1.2,1.75548808,100,,,
1.4,1.773042961,101,,,
0.7,1.790597842,102,,,
1.1,1.808152723,103,,,
0.5,1.825707604,104,,,
0.3,1.843262484,105,,,
0.3,1.860817365,106,,,
0.7,1.878372246,107,,,
1.3,1.895927127,108,,,
1.3,1.913482008,109,,,
0.9,1.931036888,110,,,
0.8,1.948591769,111,,,
1.3,1.96614665,112,,,
0.4,1.983701531,113,,,
0.5,2.001256412,114,,,
1.3,2.018811292,115,,,
0.5,2.036366173,116,,,
0.6,2.053921054,117,,,
0.6,2.071475935,118,,,
1.4,2.089030816,119,,,
0.5,2.106585696,120,,,
0,2.124140577,121,,,
1.2,2.141695458,122,,,
1.4,2.159250339,123,,,
0.7,2.17680522,124,,,
1.1,2.1943601,125,,,
0.6,2.211914981,126,,,
0.2,2.229469862,127,,,
0.2,2.247024743,128,,,
0.2,2.264579624,129,,,
0.1,2.282134504,130,,,
0.1,2.299689385,131,,,
0.2,2.317244266,132,,,
0.1,2.334799147,133,,,
0.5,2.352354028,134,,,
1.6,2.369908908,135,,,
1.6,2.387463789,136,,,
0.8,2.40501867,137,,,
0.4,2.422573551,138,,,
0.4,2.440128432,139,,,
1.7,2.457683312,140,,,
0.7,2.475238193,141,,,
0.4,2.492793074,142,,,
0.7,2.510347955,143,,,
1.5,2.527902836,144,,,
0.7,2.545457717,145,,,
0.5,2.563012597,146,,,
1.2,2.580567478,147,,,
1.2,2.598122359,148,,,
0.3,2.61567724,149,,,
0.2,2.633232121,150,,,
0.5,2.650787001,151,,,
1.1,2.668341882,152,,,
1.2,2.685896763,153,,,
0.8,2.703451644,154,,,
0.9,2.721006525,155,,,
0.5,2.738561405,156,,,
0.2,2.756116286,157,,,
0.2,2.773671167,158,,,
0.2,2.791226048,159,,,
0.3,2.808780929,160,,,
0.5,2.826335809,161,,,
1.4,2.84389069,162,,,
0.9,2.861445571,163,,,
0.3,2.879000452,164,,,
1.4,2.896555333,165,,,
1,2.914110213,166,,,
0.1,2.931665094,167,,,
0.1,2.949219975,168,,,
0.9,2.966774856,169,,,
1.5,2.984329737,170,,,
0.1,3.001884617,171,,,
0.8,3.019439498,172,,,
1.8,3.036994379,173,,,
1.8,3.05454926,174,,,
0.1,3.072104141,175,,,
0.2,3.089659021,176,,,
1.1,3.107213902,177,,,
1.1,3.124768783,178,,,
1.6,3.142323664,179,,,
0.7,3.159878545,180,,,
1,3.177433425,181,,,
0.9,3.194988306,182,,,
0.1,3.212543187,183,,,
0.1,3.230098068,184,,,
0.1,3.247652949,185,,,
0,3.265207829,186,,,
0.4,3.28276271,187,,,
1.1,3.300317591,188,,,
1.1,3.317872472,189,,,
1.2,3.335427353,190,,,
0.6,3.352982233,191,,,
0.9,3.370537114,192,,,
1.1,3.388091995,193,,,
0.1,3.405646876,194,,,
0.5,3.423201757,195,,,
1.4,3.440756637,196,,,
0.8,3.458311518,197,,,
0.4,3.475866399,198,,,
0.4,3.49342128,199,,,
1.3,3.510976161,200,,,
0.6,3.528531042,201,,,
0.2,3.546085922,202,,,
0.6,3.563640803,203,,,
1.5,3.581195684,204,,,
0.7,3.598750565,205,,,
0.5,3.616305446,206,,,
1.4,3.633860326,207,,,
1.4,3.651415207,208,,,
0.3,3.668970088,209,,,
0.3,3.686524969,210,,,
0.4,3.70407985,211,,,
0.4,3.72163473,212,,,
0.4,3.739189611,213,,,
0.8,3.756744492,214,,,
1.1,3.774299373,215,,,
0.6,3.791854254,216,,,
1.1,3.809409134,217,,,
1.1,3.826964015,218,,,
1.1,3.844518896,219,,,
0,3.862073777,220,,,
0.6,3.879628658,221,,,
1.4,3.897183538,222,,,
0.6,3.914738419,223,,,
0.7,3.9322933,224,,,
1.1,3.949848181,225,,,
0.1,3.967403062,226,,,
0.1,3.984957942,227,,,
0.1,4.002512823,228,,,
0.4,4.020067704,229,,,
0.7,4.037622585,230,,,
1.2,4.055177466,231,,,
0.6,4.072732346,232,,,
0.6,4.090287227,233,,,
1.3,4.107842108,234,,,
0.5,4.125396989,235,,,
0.1,4.14295187,236,,,
0.5,4.16050675,237,,,
1.3,4.178061631,238,,,
1.3,4.195616512,239,,,
1.2,4.213171393,240,,,
0.8,4.230726274,241,,,
1.3,4.248281154,242,,,
0.6,4.265836035,243,,,
0.8,4.283390916,244,,,
1.2,4.300945797,245,,,
0,4.318500678,246,,,
0.5,4.336055558,247,,,
0.5,4.353610439,248,,,
2,4.37116532,249,,,
2,4.388720201,250,,,
0.5,4.406275082,251,,,
0.3,4.423829962,252,,,
1.3,4.441384843,253,,,
1.5,4.458939724,254,,,
0.5,4.476494605,255,,,
1.2,4.494049486,256,,,
0.6,4.511604367,257,,,
0.2,4.529159247,258,,,
0.2,4.546714128,259,,,
0.3,4.564269009,260,,,
0.6,4.58182389,261,,,
1,4.599378771,262,,,
1,4.616933651,263,,,
0.8,4.634488532,264,,,
1.2,4.652043413,265,,,
0.6,4.669598294,266,,,
0.2,4.687153175,267,,,
0.2,4.704708055,268,,,
1.2,4.722262936,269,,,
1,4.739817817,270,,,
0.4,4.757372698,271,,,
1.1,4.774927579,272,,,
0.7,4.792482459,273,,,
0,4.81003734,274,,,
0.3,4.827592221,275,,,
1.1,4.845147102,276,,,
1.3,4.862701983,277,,,
0.7,4.880256863,278,,,
0.7,4.897811744,279,,,
1,4.915366625,280,,,
0.1,4.932921506,281,,,
0.1,4.950476387,282,,,
0.2,4.968031267,283,,,
0.8,4.985586148,284,,,
1.4,5.003141029,285,,,
1.4,5.02069591,286,,,
0.8,5.038250791,287,,,
0.4,5.055805671,288,,,
0.4,5.073360552,289,,,
1.6,5.090915433,290,,,
0.9,5.108470314,291,,,
0,5.126025195,292,,,
1.1,5.143580075,293,,,
1,5.161134956,294,,,
0.2,5.178689837,295,,,
1.1,5.196244718,296,,,
1.4,5.213799599,297,,,
1.4,5.231354479,298,,,
0.1,5.24890936,299,,,
0.3,5.266464241,300,,,
1.4,5.284019122,301,,,
1.2,5.301574003,302,,,
0.8,5.319128883,303,,,
0.9,5.336683764,304,,,
0.2,5.354238645,305,,,
0,5.371793526,306,,,
0.2,5.389348407,307,,,
0.2,5.406903287,308,,,
0.2,5.424458168,309,,,
0.9,5.442013049,310,,,
1.3,5.45956793,311,,,
0.5,5.477122811,312,,,
0.7,5.494677692,313,,,
1.2,5.512232572,314,,,
0.2,5.529787453,315,,,
0.2,5.547342334,316,,,
1.4,5.564897215,317,,,
1.1,5.582452096,318,,,
1.1,5.600006976,319,,,
0.3,5.617561857,320,,,
1.1,5.635116738,321,,,
0.8,5.652671619,322,,,
0.3,5.6702265,323,,,
0.3,5.68778138,324,,,
0.3,5.705336261,325,,,
1.4,5.722891142,326,,,
1.3,5.740446023,327,,,
0.5,5.758000904,328,,,
0.5,5.775555784,329,,,
1.1,5.793110665,330,,,
0.7,5.810665546,331,,,
0.2,5.828220427,332,,,
0.1,5.845775308,333,,,
0.2,5.863330188,334,,,
0.4,5.880885069,335,,,
1.2,5.89843995,336,,,
0.9,5.915994831,337,,,
0.5,5.933549712,338,,,
1.3,5.951104592,339,,,
1.3,5.968659473,340,,,
1.2,5.986214354,341,,,
0.2,6.003769235,342,,,
0.8,6.021324116,343,,,
1.1,6.038878996,344,,,
0.8,6.056433877,345,,,
1.1,6.073988758,346,,,
0.6,6.091543639,347,,,
0,6.10909852,348,,,
0,6.1266534,349,,,
0.8,6.144208281,350,,,
1.6,6.161763162,351,,,
1.1,6.179318043,352,,,
1,6.196872924,353,,,
0.5,6.214427804,354,,,
0,6.231982685,355,,,
1.1,6.249537566,356,,,
1.7,6.267092447,357,,,
0.8,6.284647328,358,,,
1.3,6.302202208,359,,,
1.3,6.319757089,360,,,
1.1,6.33731197,361,,,
0.9,6.354866851,362,,,
0.8,6.372421732,363,,,
0.8,6.389976612,364,,,
0.8,6.407531493,365,,,
1.3,6.425086374,366,,,
0.3,6.442641255,367,,,
0,6.460196136,368,,,
1,6.477751017,369,,,
1,6.495305897,370,,,
1.5,6.512860778,371,,,
1,6.530415659,372,,,
1,6.54797054,373,,,
0.6,6.565525421,374,,,
0.1,6.583080301,375,,,
0.1,6.600635182,376,,,
0.1,6.618190063,377,,,
0.1,6.635744944,378,,,
0.6,6.653299825,379,,,
0.6,6.670854705,380,,,
1.2,6.688409586,381,,,
0.9,6.705964467,382,,,
0.6,6.723519348,383,,,
1.3,6.741074229,384,,,
0.8,6.758629109,385,,,
0.1,6.77618399,386,,,
0.8,6.793738871,387,,,
1.4,6.811293752,388,,,
0.4,6.828848633,389,,,
0.4,6.846403513,390,,,
0.4,6.863958394,391,,,
1.4,6.881513275,392,,,
0.6,6.899068156,393,,,
0.3,6.916623037,394,,,
0.3,6.934177917,395,,,
0.5,6.951732798,396,,,
1.3,6.969287679,397,,,
1.3,6.98684256,398,,,
1.3,7.004397441,399,,,
1.3,7.021952321,400,,,
0.5,7.039507202,401,,,
0.7,7.057062083,402,,,
0.2,7.074616964,403,,,
0.3,7.092171845,404,,,
1.2,7.109726725,405,,,
0.7,7.127281606,406,,,
0.7,7.144836487,407,,,
1,7.162391368,408,,,
1,7.179946249,409,,,
0.2,7.197501129,410,,,
0.7,7.21505601,411,,,
1.1,7.232610891,412,,,
0.4,7.250165772,413,,,
0.8,7.267720653,414,,,
1.2,7.285275533,415,,,
0.2,7.302830414,416,,,
0.1,7.320385295,417,,,
0.1,7.337940176,418,,,
1.3,7.355495057,419,,,
0.8,7.373049937,420,,,
0.8,7.390604818,421,,,
0.7,7.408159699,422,,,
0.3,7.42571458,423,,,
0,7.443269461,424,,,
0.1,7.460824342,425,,,
0,7.478379222,426,,,
0,7.495934103,427,,,
0,7.513488984,428,,,
0.1,7.531043865,429,,,
0,7.548598746,430,,,
0.1,7.566153626,431,,,
0.2,7.583708507,432,,,
0.2,7.601263388,433,,,
0.2,7.618818269,434,,,
0.7,7.63637315,435,,,
1.4,7.65392803,436,,,
1.4,7.671482911,437,,,
0.7,7.689037792,438,,,
0.4,7.706592673,439,,,
1.3,7.724147554,440,,,
0.5,7.741702434,441,,,
0.1,7.759257315,442,,,
0.8,7.776812196,443,,,
1.4,7.794367077,444,,,
0.7,7.811921958,445,,,
0.5,7.829476838,446,,,
1.2,7.847031719,447,,,
0.5,7.8645866,448,,,
0.5,7.882141481,449,,,
0.7,7.899696362,450,,,
0.7,7.917251242,451,,,
1.4,7.934806123,452,,,
0.9,7.952361004,453,,,
0.7,7.969915885,454,,,
1.2,7.987470766,455,,,
0.4,8.005025646,456,,,
0.1,8.022580527,457,,,
0.1,8.040135408,458,,,
0.3,8.057690289,459,,,
1.2,8.07524517,460,,,
1.2,8.09280005,461,,,
0.7,8.110354931,462,,,
0.8,8.127909812,463,,,
1.5,8.145464693,464,,,
0.5,8.163019574,465,,,
0.2,8.180574454,466,,,
1.4,8.198129335,467,,,
0.9,8.215684216,468,,,
0.7,8.233239097,469,,,
0.7,8.250793978,470,,,
1.3,8.268348858,471,,,
0,8.285903739,472,,,
0.1,8.30345862,473,,,
1.6,8.321013501,474,,,
1.6,8.338568382,475,,,
1.3,8.356123262,476,,,
0.6,8.373678143,477,,,
0.9,8.391233024,478,,,
0.1,8.408787905,479,,,
0,8.426342786,480,,,
0.6,8.443897667,481,,,
1.1,8.461452547,482,,,
1.2,8.479007428,483,,,
0.8,8.496562309,484,,,
1.2,8.51411719,485,,,
0.8,8.531672071,486,,,
0.5,8.549226951,487,,,
1.1,8.566781832,488,,,
1.1,8.584336713,489,,,
1,8.601891594,490,,,
1.4,8.619446475,491,,,
1.4,8.637001355,492,,,
0.3,8.654556236,493,,,
0.1,8.672111117,494,,,
1.2,8.689665998,495,,,
1.2,8.707220879,496,,,
1.2,8.724775759,497,,,
0.6,8.74233064,498,,,
1.2,8.759885521,499,,,
0.8,8.777440402,500,,,
0.1,8.794995283,501,,,
0.2,8.812550163,502,,,
0.2,8.830105044,503,,,
0.3,8.847659925,504,,,
1.3,8.865214806,505,,,
1.1,8.882769687,506,,,
1.1,8.900324567,507,,,
1.1,8.917879448,508,,,
0.3,8.935434329,509,,,
1.5,8.95298921,510,,,
1.1,8.970544091,511,,,
0.2,8.988098971,512,,,
0.6,9.005653852,513,,,
1.5,9.023208733,514,,,
0.8,9.040763614,515,,,
0.4,9.058318495,516,,,
0.4,9.075873375,517,,,
1.2,9.093428256,518,,,
0.1,9.110983137,519,,,
0.1,9.128538018,520,,,
0.3,9.146092899,521,,,
0.7,9.163647779,522,,,
1.2,9.18120266,523,,,
1.1,9.198757541,524,,,
0.7,9.216312422,525,,,
1,9.233867303,526,,,
0.4,9.251422183,527,,,
0.4,9.268977064,528,,,
0.1,9.286531945,529,,,
0.3,9.304086826,530,,,
1,9.321641707,531,,,
1.3,9.339196587,532,,,
0.8,9.356751468,533,,,
1.1,9.374306349,534,,,
