Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message
2.958633775,,,,700,-0.000888672,-0.047099609,-0.959404297,-0.030570492,0.012202769,0,-0.046105755,52.1,0,0,0,0,0,0,-0.042535866,-0.250579288,0.012202769,0.060283203,-0.046085908,0,1,1,0.02,0,0,0,0,
2.87364815,,,,714,-0.000800781,-0.047148438,-0.960703125,-0.030577656,0.011974557,0,-0.046666565,52.6,0,0,0,0,0,0,-0.042331412,-0.250423588,0.011974557,0.060947266,-0.046538194,0,1,1,0.015,0,0,0,0,
13.62763853,,,,728,-0.002314453,-0.044980469,-0.962246094,-0.030541554,0.012063985,0,-0.046628799,50.5,0,0,0,0,0,0,-0.042568247,-0.250414735,0.012063985,0.065605469,-0.046409806,0,1,1,0.03,0,0,0,0,
24.34996478,,,,742,-0.001269531,-0.047041016,-0.960234375,-0.030582619,0.012157846,0,-0.046816527,53.61087293,0,0,0,0,0,0,-0.042430904,-0.250556856,0.012157846,0.061044922,-0.046524906,0,1,1,0.04,0,0,0,0,
35.16956398,,,,756,-0.000429688,-0.047900391,-0.959892578,-0.030555712,0.01201963,0,-0.046229153,53.28990845,0,0,0,0,0,0,-0.042530578,-0.250473415,0.01201963,0.059941406,-0.046359464,0,1,1,0.045,0,0,0,0,
45.89428615,,,,770,-0.000380859,-0.047841797,-0.9578125,-0.030563637,0.012085392,0,-0.046373371,51.47679328,0,0,0,0,0,0,-0.042436813,-0.250433583,0.012085392,0.059267578,-0.046457114,0,1,1,0.03,0,0,0,0,
56.14940718,,,,784,0,-0.048271484,-0.957373047,-0.030575792,0.012265085,0,-0.045856897,52.1,0,0,0,0,0,0,-0.042528947,-0.250608441,0.012265085,0.05859375,-0.046110239,0,1,1,0.055,0,0,0,0,
66.62804555,,,,798,-0.001328125,-0.046474609,-0.95921875,-0.030538096,0.011808479,0,-0.045751041,52.2,0,0,0,0,0,0,-0.042679311,-0.250502264,0.011808479,0.060429688,-0.046074173,0,1,1,0.045,0,0,0,0,
77.4074841,,,,812,-0.000136719,-0.048251953,-0.958095703,-0.030555709,0.012038792,0,-0.04691606,52.70403771,0,0,0,0,0,0,-0.042611374,-0.250554194,0.012038792,0.058632813,-0.046681525,0,1,1,0.025,0,0,0,0,
88.33453173,,,,826,-0.002753906,-0.045322266,-0.959726563,-0.030552161,0.012174531,0,-0.046645576,52.52310547,0,0,0,0,0,0,-0.042578167,-0.250496839,0.012174531,0.062207031,-0.046636101,0,1,1,0.045,0,0,0,0,
99.1506359,,,,840,-0.000732422,-0.047275391,-0.960058594,-0.030598628,0.012162055,0,-0.046105832,52.41236142,0,0,0,0,0,0,-0.042444574,-0.250679475,0.012162055,0.060478516,-0.04645285,0,1,1,0.035,0,0,0,0,
110.168325,,,,854,-0.000498047,-0.04765625,-0.958642578,-0.03060228,0.012030413,0,-0.046681718,53.18029373,0,0,0,0,0,0,-0.042407748,-0.250667498,0.012030413,0.059560547,-0.046675172,0,1,1,0.03,0,0,0,0,
121.0138691,,,,868,-0.000771484,-0.047324219,-0.958857422,-0.030567649,0.012030981,0,-0.046972609,52.15388502,0,0,0,0,0,0,-0.042568367,-0.25059244,0.012030981,0.059931641,-0.046799858,0,1,1,0.055,0,0,0,0,
131.7206988,,,,882,-0.000859375,-0.047099609,-0.958994141,-0.030539485,0.011734467,0,-0.046341939,53.2294823,0,0,0,0,0,0,-0.042674273,-0.25050668,0.011734467,0.059316406,-0.046396032,0,1,1,0.02,0,0,0,0,
142.4392814,,,,896,-0.001152344,-0.047285156,-0.959853516,-0.03056898,0.011511911,0,-0.046331174,52.05674816,0,0,0,0,0,0,-0.042637652,-0.250670785,0.011511911,0.060185547,-0.046502117,0,1,1,0.03,0,0,0,0,
153.2780361,,,,910,-0.000576172,-0.048056641,-0.960107422,-0.030573366,0.011468548,0,-0.046282662,53.0296547,0,0,0,0,0,0,-0.042571366,-0.250634349,0.011468548,0.059853516,-0.046245398,0,1,1,0.065,0,0,0,0,
164.03679,,,,924,-0.000419922,-0.048066406,-0.960166016,-0.030555808,0.011462463,0,-0.04625081,52.62099697,0,0,0,0,0,0,-0.042682153,-0.250625644,0.011462463,0.059824219,-0.046583492,0,1,1,0.035,0,0,0,0,
174.6560571,,,,938,-0.001132813,-0.047294922,-0.960800781,-0.030573626,0.011383766,0,-0.046101322,52.79480795,0,0,0,0,0,0,-0.042708105,-0.250772853,0.011383766,0.060664063,-0.046254019,0,1,1,0.045,0,0,0,0,
185.3111528,,,,952,-0.000556641,-0.048125,-0.958251953,-0.030554517,0.011377073,0,-0.046393454,53.15036155,0,0,0,0,0,0,-0.042576138,-0.250510843,0.011377073,0.059677734,-0.046221291,0,1,1,0.045,0,0,0,0,
196.1021874,,,,966,0,-0.04859375,-0.958125,-0.030583589,0.011425889,0,-0.046343144,53.8556841,0,0,0,0,0,0,-0.042609822,-0.250742372,0.011425889,0.05859375,-0.046182021,0,1,1,0.07,0,0,0,0,
206.887174,,,,980,-0.000644531,-0.047939453,-0.960927734,-0.030570538,0.011447559,0,-0.046181224,52.38812029,0,0,0,0,0,0,-0.042757162,-0.250800899,0.011447559,0.060400391,-0.046255587,0,1,1,0.06,0,0,0,0,
217.6761298,,,,994,-0.001113281,-0.047421875,-0.961728516,-0.030540496,0.011322795,0,-0.046583972,53.23553804,0,0,0,0,0,0,-0.042895848,-0.250735138,0.011322795,0.061210938,-0.046483121,0,1,1,0.07,0,0,0,0,
228.1202951,,,,1008,-0.000664063,-0.047900391,-0.959667969,-0.030571526,0.011337417,0,-0.046599555,53.79197264,0,0,0,0,0,0,-0.042655435,-0.250705896,0.011337417,0.059873047,-0.04626661,0,1,1,0.01,0,0,0,0,
238.9827391,,,,1022,-0.000791016,-0.047802734,-0.960390625,-0.030548746,0.011277464,0,-0.046631052,52.40551387,0,0,0,0,0,0,-0.04282943,-0.250724863,0.011277464,0.06015625,-0.046420362,0,1,1,0.06,0,0,0,0,
249.7892785,,,,1036,0,-0.048828125,-0.957861328,-0.030543666,0.011371578,0,-0.046143096,52.8,0,0,0,0,0,0,-0.042845986,-0.25070685,0.011371578,0.05859375,-0.045938018,0,1,1,0.03,0,0,0,0,
260.54733,,,,1050,0,-0.048720703,-0.958056641,-0.030539005,0.011276276,0,-0.046794132,51.39478949,0,0,0,0,0,0,-0.042921829,-0.250750971,0.011276276,0.05859375,-0.046523817,0,1,1,0.055,0,0,0,0,
271.2236044,,,,1064,0,-0.048662109,-0.957910156,-0.030546176,0.011250911,0,-0.045696253,52.75047941,0,0,0,0,0,0,-0.042810567,-0.250688507,0.011250911,0.05859375,-0.045768707,0,1,1,0.05,0,0,0,0,
281.912645,,,,1078,0,-0.048574219,-0.957890625,-0.030547473,0.011088793,0,-0.045762506,53.19023854,0,0,0,0,0,0,-0.042849903,-0.250736675,0.011088793,0.05859375,-0.04582832,0,1,1,0.055,0,0,0,0,
292.6834356,,,,1092,6.83594E-05,-0.048525391,-0.957734375,-0.030574132,0.011212018,0,-0.045985345,51.2381685,0,0,0,0,0,0,-0.042710108,-0.250778298,0.011212018,0.058496094,-0.046077139,0,1,1,0.055,0,0,0,0,
303.6804367,,,,1106,-5.85938E-05,-0.048554688,-0.959433594,-0.030530951,0.011112156,0,-0.045972553,52.6,0,0,0,0,0,0,-0.042974228,-0.250748559,0.011112156,0.059121094,-0.04585774,0,1,1,0.06,0,0,0,0,
313.9264297,,,,1120,0,-0.048720703,-0.957783203,-0.030579536,0.011129577,0,-0.046178726,53.54560858,0,0,0,0,0,0,-0.042694098,-0.25079907,0.011129577,0.05859375,-0.046351543,0,1,1,0.055,0,0,0,0,
323.8390309,,,,1134,0,-0.048544922,-0.957900391,-0.030564201,0.011190692,0,-0.046546083,52.1,0,0,0,0,0,0,-0.042742127,-0.250742739,0.011190692,0.05859375,-0.04638327,0,1,1,0.065,0,0,0,0,
333.7042106,,,,1148,0,-0.048603516,-0.957832031,-0.030524186,0.011081322,0,-0.046268638,52.46479738,0,0,0,0,0,0,-0.043048752,-0.250777045,0.011081322,0.05859375,-0.046378161,0,1,1,0.045,0,0,0,0,
343.6911264,,,,1162,0,-0.048701172,-0.957753906,-0.030570022,0.011240712,0,-0.046121194,52.23915168,0,0,0,0,0,0,-0.042854151,-0.250894373,0.011240712,0.05859375,-0.046279024,0,1,1,0.065,0,0,0,0,
353.5754693,,,,1176,-0.000175781,-0.048505859,-0.958447266,-0.030594644,0.011138942,0,-0.04655689,51.81331029,0,0,0,0,0,0,-0.04271672,-0.250924508,0.011138942,0.058652344,-0.046439586,0,1,1,0.03,0,0,0,0,
363.4793147,,,,1190,-0.000234375,-0.048417969,-0.959111328,-0.030584258,0.01122971,0,-0.046176206,50.38972576,0,0,0,0,0,0,-0.042739088,-0.250876194,0.01122971,0.059111328,-0.04633854,0,1,1,0.06,0,0,0,0,
373.3598837,,,,1204,-0.000410156,-0.048105469,-0.958759766,-0.030545542,0.011097266,0,-0.046316075,51.72477591,0,0,0,0,0,0,-0.042855816,-0.250729442,0.011097266,0.05875,-0.04627009,0,1,1,0.05,0,0,0,0,
383.2350883,,,,1218,-0.001279297,-0.047255859,-0.960449219,-0.030562008,0.011097537,0,-0.046894077,49.3260429,0,0,0,0,0,0,-0.042854803,-0.250840487,0.011097537,0.06078125,-0.04663339,0,1,1,0.05,0,0,0,0,
393.1233004,,,,1232,-0.000888672,-0.047529297,-0.960322266,-0.030577198,0.011261822,0,-0.046581873,48.10140815,0,0,0,0,0,0,-0.042850509,-0.250939565,0.011261822,0.060605469,-0.046689748,0,1,1,0.05,0,0,0,0,
403.0289061,,,,1246,-0.001142578,-0.047119141,-0.961669922,-0.030575688,0.01120772,0,-0.046468293,49.11588146,0,0,0,0,0,0,-0.042828166,-0.250906952,0.01120772,0.061503906,-0.046496428,0,1,1,0.07,0,0,0,0,
412.9157705,,,,1260,-0.001025391,-0.04734375,-0.960634766,-0.030544792,0.011252715,0,-0.046399782,46.42398891,0,0,0,0,0,0,-0.042959951,-0.250828472,0.011252715,0.06109375,-0.046343465,0,1,1,0.075,0,0,0,0,
422.812371,,,,1274,-0.000332031,-0.048125,-0.958544922,-0.030561082,0.011112216,0,-0.046373757,44.9,0,0,0,0,0,0,-0.042906442,-0.250885828,0.011112216,0.058984375,-0.046376051,0,1,1,0.065,0,0,0,0,
432.7260049,,,,1288,-0.000751953,-0.047773438,-0.960546875,-0.030568901,0.011185372,0,-0.04690725,45.0782031,0,0,0,0,0,0,-0.042900941,-0.250933534,0.011185372,0.060507813,-0.046946413,0,1,1,0.07,0,0,0,0,
442.6164466,,,,1302,-0.003251953,-0.044072266,-0.964033203,-0.03056857,0.011400056,0,-0.046135783,43.03183422,0,0,0,0,0,0,-0.042831735,-0.250862079,0.011400056,0.064746094,-0.046155788,0,1,1,0.06,0,0,0,0,
452.5165491,,,,1316,-0.002978516,-0.045058594,-0.963076172,-0.030565226,0.011408334,0,-0.046509705,39.1194086,0,0,0,0,0,0,-0.042879642,-0.250887227,0.011408334,0.063408203,-0.046383929,0,1,1,0.085,0,0,0,0,
462.4512304,,,,1330,-0.001152344,-0.046894531,-0.960537109,-0.030583968,0.011162372,0,-0.046019704,34.9,0,0,0,0,0,0,-0.042777335,-0.250912463,0.011162372,0.061455078,-0.046363069,0,1,1,0.065,0,0,0,0,
472.3779576,,,,1344,-0.000654297,-0.047392578,-0.959824219,-0.030588807,0.011295368,0,-0.046582275,29.58686118,0,0,0,0,0,0,-0.04285839,-0.251026449,0.011295368,0.060058594,-0.046349459,0,1,1,0.045,0,0,0,0,
482.2786668,,,,1358,-0.000390625,-0.047578125,-0.958710938,-0.030560574,0.011191406,0,-0.046537031,23,0,0,0,0,0,0,-0.042885713,-0.250861641,0.011191406,0.059335938,-0.046762718,0,1,1,0.09,0,0,0,0,
492.1727992,,,,1372,-0.000322266,-0.047880859,-0.959589844,-0.030607891,0.011102477,0,-0.047171766,16.1,0,0,0,0,0,0,-0.04272021,-0.251018148,0.011102477,0.060097656,-0.047222833,0,1,1,0.1,0,0,0,0,
502.0561388,,,,1386,-0.0009375,-0.0471875,-0.960185547,-0.030542196,0.011357821,0,-0.047335163,9.281992553,0,0,0,0,0,0,-0.043057777,-0.250908634,0.011357821,0.061015625,-0.046931533,0,1,1,0.055,0,0,0,0,
511.9565662,,,,1400,-0.001953125,-0.046171875,-0.960205078,-0.0305523,0.011136282,0,-0.047320474,5.286252897,0,0,0,0,0,0,-0.042962435,-0.250882051,0.011136282,0.061845703,-0.046982547,0,1,1,0.065,0,0,0,0,
521.872821,,,,700,-0.00140625,-0.046738281,-0.961240234,-0.030557257,0.011175952,0,-0.04648392,0.929016518,0,0,0,0,0,0,-0.042903529,-0.250856879,0.011175952,0.06140625,-0.046348781,0,1,1,0.03,0,0,0,0,
531.761023,,,,714,-0.001982422,-0.045898438,-0.961083984,-0.030558266,0.011184907,0,-0.046650274,53.29989349,0,0,0,0,0,0,-0.042978668,-0.25093889,0.011184907,0.061464844,-0.046373538,0,1,1,0.035,0,0,0,0,
541.6632647,,,,728,-5.85938E-05,-0.047978516,-0.957294922,-0.030538854,0.011268271,0,-0.046190559,53.28983573,0,0,0,0,0,0,-0.042999462,-0.250827572,0.011268271,0.058798828,-0.046311239,0,1,1,0.03,0,0,0,0,
551.5951901,,,,742,0,-0.047988281,-0.957226563,-0.030555937,0.011267042,0,-0.045615072,52.60516493,0,0,0,0,0,0,-0.04303099,-0.250975361,0.011267042,0.05859375,-0.045744009,0,1,1,0.065,0,0,0,0,
561.523558,,,,756,0,-0.048349609,-0.957470703,-0.030549666,0.010982437,0,-0.046801771,52.45285306,0,0,0,0,0,0,-0.04308216,-0.250983853,0.010982437,0.05859375,-0.046722028,0,1,1,0.03,0,0,0,0,
571.442262,,,,770,0,-0.048417969,-0.957539063,-0.030575392,0.010833792,0,-0.045966654,52.99833284,0,0,0,0,0,0,-0.042872487,-0.250949258,0.010833792,0.05859375,-0.046219016,0,1,1,0.03,0,0,0,0,
581.3623459,,,,784,0,-0.048466797,-0.957431641,-0.030532129,0.010916352,0,-0.046177343,52.20227113,0,0,0,0,0,0,-0.043076759,-0.250859106,0.010916352,0.05859375,-0.04620252,0,1,1,0.035,0,0,0,0,
591.2595208,,,,798,0,-0.048085938,-0.957441406,-0.030560468,0.011053375,0,-0.045836229,53.135878,0,0,0,0,0,0,-0.04298044,-0.250955647,0.011053375,0.05859375,-0.04620392,0,1,1,0.035,0,0,0,0,
601.1673873,,,,812,0,-0.047949219,-0.957324219,-0.030542764,0.011127003,0,-0.046847638,53.39209984,0,0,0,0,0,0,-0.043040271,-0.250894995,0.011127003,0.05859375,-0.046799035,0,1,1,0.035,0,0,0,0,
611.0555105,,,,826,0,-0.047998047,-0.957128906,-0.030549666,0.011007573,0,-0.046103842,53,0,0,0,0,0,0,-0.043115029,-0.251016721,0.011007573,0.05859375,-0.046198114,0,1,1,0.055,0,0,0,0,
620.9561895,,,,840,0,-0.048203125,-0.957080078,-0.030566598,0.011068032,0,-0.046088693,51.81948446,0,0,0,0,0,0,-0.042931495,-0.250948417,0.011068032,0.05859375,-0.046153415,0,1,1,0.01,0,0,0,0,
630.8557286,,,,854,0,-0.048027344,-0.957050781,-0.03056806,0.011054967,0,-0.046324905,53.4,0,0,0,0,0,0,-0.043023825,-0.251050693,0.011054967,0.05859375,-0.046306924,0,1,1,0.045,0,0,0,0,
