RPM,time,count,,,,,,Record time: 1582.458,,,delta_T,0.017604775,0.017604775
50.4,0,0,,,,,,,,,,,
51.1,0.017604775,1,,,,,,,,,,,
51.9,0.03520955,2,,,,,,,,,,,
51.7,0.052814324,3,,,,,,,,,,,
50.4,0.070419099,4,,,,,,,,,,,
50,0.088023874,5,,,,,,,,,,,
50.6,0.105628649,6,,,,,,,,,,,
50.6,0.123233424,7,,,,,,,,,,,
50.7,0.140838199,8,,,,,,,,,,,
50.6,0.158442973,9,,,,,,,,,,,
50.8,0.176047748,10,,,,,,,,,,,
50.5,0.193652523,11,,,,,,,,,,,
50,0.211257298,12,,,,,,,,,,,
50.4,0.228862073,13,,,,,,,,,,,
50.9,0.246466848,14,,,,,,,,,,,
50.8,0.264071622,15,,,,,,,,,,,
50.9,0.281676397,16,,,,,,,,,,,
50.4,0.299281172,17,,,,,,,,,,,
50.4,0.316885947,18,,,,,,,,,,,
50,0.334490722,19,,,,,,,,,,,
50,0.352095497,20,,,,,,,,,,,
50.6,0.369700271,21,,,,,,,,,,,
51.1,0.387305046,22,,,,,,,,,,,
50.8,0.404909821,23,,,,,,,,,,,
51.2,0.422514596,24,,,,,,,,,,,
51.2,0.440119371,25,,,,,,,,,,,
51,0.457724146,26,,,,,,,,,,,
51.3,0.47532892,27,,,,,,,,,,,
51.3,0.492933695,28,,,,,,,,,,,
52,0.51053847,29,,,,,,,,,,,
52.6,0.528143245,30,,,,,,,,,,,
52,0.54574802,31,,,,,,,,,,,
51.2,0.563352795,32,,,,,,,,,,,
51.2,0.580957569,33,,,,,,,,,,,
51.5,0.598562344,34,,,,,,,,,,,
51.4,0.616167119,35,,,,,,,,,,,
51.7,0.633771894,36,,,,,,,,,,,
51.6,0.651376669,37,,,,,,,,,,,
50.9,0.668981444,38,,,,,,,,,,,
50.9,0.686586218,39,,,,,,,,,,,
50.9,0.704190993,40,,,,,,,,,,,
51.4,0.721795768,41,,,,,,,,,,,
51.5,0.739400543,42,,,,,,,,,,,
51.5,0.757005318,43,,,,,,,,,,,
51.1,0.774610093,44,,,,,,,,,,,
50.4,0.792214867,45,,,,,,,,,,,
50.7,0.809819642,46,,,,,,,,,,,
50.7,0.827424417,47,,,,,,,,,,,
50.5,0.845029192,48,,,,,,,,,,,
51.1,0.862633967,49,,,,,,,,,,,
51.1,0.880238742,50,,,,,,,,,,,
50.6,0.897843516,51,,,,,,,,,,,
50.3,0.915448291,52,,,,,,,,,,,
50.7,0.933053066,53,,,,,,,,,,,
51.1,0.950657841,54,,,,,,,,,,,
51.3,0.968262616,55,,,,,,,,,,,
51.3,0.985867391,56,,,,,,,,,,,
51,1.003472165,57,,,,,,,,,,,
50.3,1.02107694,58,,,,,,,,,,,
49.9,1.038681715,59,,,,,,,,,,,
49.9,1.05628649,60,,,,,,,,,,,
49.9,1.073891265,61,,,,,,,,,,,
49.8,1.09149604,62,,,,,,,,,,,
50.3,1.109100814,63,,,,,,,,,,,
50.9,1.126705589,64,,,,,,,,,,,
50.1,1.144310364,65,,,,,,,,,,,
49.8,1.161915139,66,,,,,,,,,,,
50.2,1.179519914,67,,,,,,,,,,,
50.2,1.197124689,68,,,,,,,,,,,
50.7,1.214729463,69,,,,,,,,,,,
50.7,1.232334238,70,,,,,,,,,,,
51,1.249939013,71,,,,,,,,,,,
50.4,1.267543788,72,,,,,,,,,,,
50.2,1.285148563,73,,,,,,,,,,,
50.6,1.302753337,74,,,,,,,,,,,
50.5,1.320358112,75,,,,,,,,,,,
51.1,1.337962887,76,,,,,,,,,,,
51.5,1.355567662,77,,,,,,,,,,,
51.1,1.373172437,78,,,,,,,,,,,
51.1,1.390777212,79,,,,,,,,,,,
51.8,1.408381986,80,,,,,,,,,,,
51.8,1.425986761,81,,,,,,,,,,,
52.1,1.443591536,82,,,,,,,,,,,
51.7,1.461196311,83,,,,,,,,,,,
51.4,1.478801086,84,,,,,,,,,,,
51.2,1.496405861,85,,,,,,,,,,,
50.8,1.514010635,86,,,,,,,,,,,
50.6,1.53161541,87,,,,,,,,,,,
51.1,1.549220185,88,,,,,,,,,,,
51.9,1.56682496,89,,,,,,,,,,,
51.5,1.584429735,90,,,,,,,,,,,
50.9,1.60203451,91,,,,,,,,,,,
50.9,1.619639284,92,,,,,,,,,,,
51.3,1.637244059,93,,,,,,,,,,,
51.3,1.654848834,94,,,,,,,,,,,
51,1.672453609,95,,,,,,,,,,,
51.5,1.690058384,96,,,,,,,,,,,
52.2,1.707663159,97,,,,,,,,,,,
51.9,1.725267933,98,,,,,,,,,,,
51.5,1.742872708,99,,,,,,,,,,,
51.5,1.760477483,100,,,,,,,,,,,
51.6,1.778082258,101,,,,,,,,,,,
51.3,1.795687033,102,,,,,,,,,,,
51.9,1.813291808,103,,,,,,,,,,,
52.7,1.830896582,104,,,,,,,,,,,
52.5,1.848501357,105,,,,,,,,,,,
51.9,1.866106132,106,,,,,,,,,,,
52.4,1.883710907,107,,,,,,,,,,,
52.9,1.901315682,108,,,,,,,,,,,
52.3,1.918920457,109,,,,,,,,,,,
52.3,1.936525231,110,,,,,,,,,,,
52,1.954130006,111,,,,,,,,,,,
51,1.971734781,112,,,,,,,,,,,
51,1.989339556,113,,,,,,,,,,,
50.5,2.006944331,114,,,,,,,,,,,
51,2.024549106,115,,,,,,,,,,,
51.2,2.04215388,116,,,,,,,,,,,
51,2.059758655,117,,,,,,,,,,,
50.8,2.07736343,118,,,,,,,,,,,
50.1,2.094968205,119,,,,,,,,,,,
49.8,2.11257298,120,,,,,,,,,,,
50.5,2.130177755,121,,,,,,,,,,,
50.5,2.147782529,122,,,,,,,,,,,
50.8,2.165387304,123,,,,,,,,,,,
50.7,2.182992079,124,,,,,,,,,,,
50.8,2.200596854,125,,,,,,,,,,,
50.2,2.218201629,126,,,,,,,,,,,
50,2.235806404,127,,,,,,,,,,,
50.9,2.253411178,128,,,,,,,,,,,
51.4,2.271015953,129,,,,,,,,,,,
51.6,2.288620728,130,,,,,,,,,,,
51.6,2.306225503,131,,,,,,,,,,,
51.6,2.323830278,132,,,,,,,,,,,
51.6,2.341435053,133,,,,,,,,,,,
51.6,2.359039827,134,,,,,,,,,,,
51.6,2.376644602,135,,,,,,,,,,,
51,2.394249377,136,,,,,,,,,,,
51.1,2.411854152,137,,,,,,,,,,,
51.6,2.429458927,138,,,,,,,,,,,
50.8,2.447063701,139,,,,,,,,,,,
50.2,2.464668476,140,,,,,,,,,,,
50.9,2.482273251,141,,,,,,,,,,,
50.9,2.499878026,142,,,,,,,,,,,
51.2,2.517482801,143,,,,,,,,,,,
51.2,2.535087576,144,,,,,,,,,,,
51.5,2.55269235,145,,,,,,,,,,,
51.2,2.570297125,146,,,,,,,,,,,
50.6,2.5879019,147,,,,,,,,,,,
51,2.605506675,148,,,,,,,,,,,
51.4,2.62311145,149,,,,,,,,,,,
51.5,2.640716225,150,,,,,,,,,,,
51.6,2.658320999,151,,,,,,,,,,,
51.1,2.675925774,152,,,,,,,,,,,
50.6,2.693530549,153,,,,,,,,,,,
50.6,2.711135324,154,,,,,,,,,,,
51.3,2.728740099,155,,,,,,,,,,,
51.9,2.746344874,156,,,,,,,,,,,
52.2,2.763949648,157,,,,,,,,,,,
52.3,2.781554423,158,,,,,,,,,,,
52.3,2.799159198,159,,,,,,,,,,,
52,2.816763973,160,,,,,,,,,,,
51.9,2.834368748,161,,,,,,,,,,,
52.2,2.851973523,162,,,,,,,,,,,
52.6,2.869578297,163,,,,,,,,,,,
52.6,2.887183072,164,,,,,,,,,,,
52,2.904787847,165,,,,,,,,,,,
51.4,2.922392622,166,,,,,,,,,,,
51.7,2.939997397,167,,,,,,,,,,,
52.1,2.957602172,168,,,,,,,,,,,
52.1,2.975206946,169,,,,,,,,,,,
51.8,2.992811721,170,,,,,,,,,,,
52.6,3.010416496,171,,,,,,,,,,,
52.4,3.028021271,172,,,,,,,,,,,
51.5,3.045626046,173,,,,,,,,,,,
51.7,3.063230821,174,,,,,,,,,,,
51.7,3.080835595,175,,,,,,,,,,,
52.1,3.09844037,176,,,,,,,,,,,
52.2,3.116045145,177,,,,,,,,,,,
52.3,3.13364992,178,,,,,,,,,,,
51.5,3.151254695,179,,,,,,,,,,,
50.8,3.16885947,180,,,,,,,,,,,
51.5,3.186464244,181,,,,,,,,,,,
51.6,3.204069019,182,,,,,,,,,,,
52,3.221673794,183,,,,,,,,,,,
52,3.239278569,184,,,,,,,,,,,
52.4,3.256883344,185,,,,,,,,,,,
51.8,3.274488119,186,,,,,,,,,,,
50.7,3.292092893,187,,,,,,,,,,,
50.4,3.309697668,188,,,,,,,,,,,
51,3.327302443,189,,,,,,,,,,,
51.1,3.344907218,190,,,,,,,,,,,
50.6,3.362511993,191,,,,,,,,,,,
50.3,3.380116768,192,,,,,,,,,,,
50.4,3.397721542,193,,,,,,,,,,,
50.4,3.415326317,194,,,,,,,,,,,
50.4,3.432931092,195,,,,,,,,,,,
50.6,3.450535867,196,,,,,,,,,,,
51.4,3.468140642,197,,,,,,,,,,,
51,3.485745417,198,,,,,,,,,,,
50.4,3.503350191,199,,,,,,,,,,,
50.6,3.520954966,200,,,,,,,,,,,
50.6,3.538559741,201,,,,,,,,,,,
50.8,3.556164516,202,,,,,,,,,,,
51.7,3.573769291,203,,,,,,,,,,,
51,3.591374066,204,,,,,,,,,,,
50.4,3.60897884,205,,,,,,,,,,,
50.4,3.626583615,206,,,,,,,,,,,
50.4,3.64418839,207,,,,,,,,,,,
51.4,3.661793165,208,,,,,,,,,,,
51.5,3.67939794,209,,,,,,,,,,,
51.7,3.697002714,210,,,,,,,,,,,
52.6,3.714607489,211,,,,,,,,,,,
53,3.732212264,212,,,,,,,,,,,
51.8,3.749817039,213,,,,,,,,,,,
50.8,3.767421814,214,,,,,,,,,,,
51.5,3.785026589,215,,,,,,,,,,,
51.5,3.802631363,216,,,,,,,,,,,
51.8,3.820236138,217,,,,,,,,,,,
51.3,3.837840913,218,,,,,,,,,,,
51.3,3.855445688,219,,,,,,,,,,,
51.1,3.873050463,220,,,,,,,,,,,
