RPM,Time,count,Final
0,0,0,0.0176
0,0.0176,1,0.0176
0,0.0352,2,0.0176
0,0.0528,3,
0,0.0704,4,
0,0.088,5,0.0176
0,0.1056,6,
0,0.1232,7,
0,0.1408,8,
0.5,0.1584,9,
0.5,0.176,10,
3.9,0.1936,11,
10.6,0.2112,12,
15.2,0.2288,13,
18.4,0.2464,14,
22.8,0.264,15,
26.5,0.2816,16,
28.8,0.2992,17,
30.8,0.3168,18,
32.8,0.3344,19,
32.8,0.352,20,
30.7,0.3696,21,
30.7,0.3872,22,
32.2,0.4048,23,
35,0.4224,24,
35.5,0.44,25,
34.5,0.4576,26,
35.5,0.4752,27,
36.2,0.4928,28,
35.5,0.5104,29,
35.2,0.528,30,
35.7,0.5456,31,
35.7,0.5632,32,
35.1,0.5808,33,
33.4,0.5984,34,
33.4,0.616,35,
33.2,0.6336,36,
32.8,0.6512,37,
34.6,0.6688,38,
34.6,0.6864,39,
36.2,0.704,40,
36.6,0.7216,41,
35.8,0.7392,42,
35.8,0.7568,43,
36,0.7744,44,
36.8,0.792,45,
36.3,0.8096,46,
35,0.8272,47,
35,0.8448,48,
36.7,0.8624,49,
37,0.88,50,
36.1,0.8976,51,
36.1,0.9152,52,
36.4,0.9328,53,
36.5,0.9504,54,
35.5,0.968,55,
35.4,0.9856,56,
36.3,1.0032,57,
35.5,1.0208,58,
33.1,1.0384,59,
33.3,1.056,60,
36,1.0736,61,
36.8,1.0912,62,
36.8,1.1088,63,
35.2,1.1264,64,
35.3,1.144,65,
37.1,1.1616,66,
37.8,1.1792,67,
36.9,1.1968,68,
37.9,1.2144,69,
40,1.232,70,
40.6,1.2496,71,
40.6,1.2672,72,
39.8,1.2848,73,
41.2,1.3024,74,
42.4,1.32,75,
42.4,1.3376,76,
42.7,1.3552,77,
42.8,1.3728,78,
43.2,1.3904,79,
43.2,1.408,80,
43.3,1.4256,81,
43.7,1.4432,82,
43.7,1.4608,83,
43.7,1.4784,84,
44,1.496,85,
44,1.5136,86,
43.7,1.5312,87,
43.4,1.5488,88,
43.4,1.5664,89,
43.7,1.584,90,
43.7,1.6016,91,
44.4,1.6192,92,
44.3,1.6368,93,
44.2,1.6544,94,
43.8,1.672,95,
44.4,1.6896,96,
44.4,1.7072,97,
44.4,1.7248,98,
44.6,1.7424,99,
44.7,1.76,100,
44.9,1.7776,101,
44.7,1.7952,102,
43.9,1.8128,103,
44.3,1.8304,104,
44.3,1.848,105,
45.3,1.8656,106,
45.6,1.8832,107,
45.6,1.9008,108,
45.5,1.9184,109,
45.6,1.936,110,
45.6,1.9536,111,
44.6,1.9712,112,
44.6,1.9888,113,
45.3,2.0064,114,
45.3,2.024,115,
45.5,2.0416,116,
45.8,2.0592,117,
45.8,2.0768,118,
45.3,2.0944,119,
45.3,2.112,120,
45.1,2.1296,121,
45.5,2.1472,122,
45.8,2.1648,123,
46,2.1824,124,
46.4,2.2,125,
46.2,2.2176,126,
45.4,2.2352,127,
45.5,2.2528,128,
46.7,2.2704,129,
46.9,2.288,130,
46.9,2.3056,131,
46.8,2.3232,132,
46.9,2.3408,133,
46.5,2.3584,134,
46.2,2.376,135,
46.6,2.3936,136,
46.6,2.4112,137,
46.6,2.4288,138,
46.6,2.4464,139,
45.6,2.464,140,
45.1,2.4816,141,
45.4,2.4992,142,
45.5,2.5168,143,
45.3,2.5344,144,
45.6,2.552,145,
45.6,2.5696,146,
44.5,2.5872,147,
44.4,2.6048,148,
44.5,2.6224,149,
44.5,2.64,150,
44.9,2.6576,151,
44.9,2.6752,152,
45,2.6928,153,
45,2.7104,154,
44.2,2.728,155,
44.7,2.7456,156,
44.7,2.7632,157,
45.3,2.7808,158,
45.3,2.7984,159,
46,2.816,160,
46.3,2.8336,161,
46.2,2.8512,162,
45.6,2.8688,163,
45,2.8864,164,
45.1,2.904,165,
45.5,2.9216,166,
45.6,2.9392,167,
45.6,2.9568,168,
45.2,2.9744,169,
44.8,2.992,170,
45,3.0096,171,
45.1,3.0272,172,
45.2,3.0448,173,
45.6,3.0624,174,
46,3.08,175,
45.3,3.0976,176,
45.3,3.1152,177,
45.2,3.1328,178,
45.2,3.1504,179,
45.2,3.168,180,
45.2,3.1856,181,
45.5,3.2032,182,
46.1,3.2208,183,
45.8,3.2384,184,
45.1,3.256,185,
45.4,3.2736,186,
45.8,3.2912,187,
45.8,3.3088,188,
45.9,3.3264,189,
46.3,3.344,190,
46.9,3.3616,191,
47.1,3.3792,192,
46.5,3.3968,193,
45.8,3.4144,194,
46,3.432,195,
46.5,3.4496,196,
46.6,3.4672,197,
46.1,3.4848,198,
46.1,3.5024,199,
46.1,3.52,200,
45.9,3.5376,201,
46.1,3.5552,202,
46.1,3.5728,203,
46.8,3.5904,204,
46.8,3.608,205,
46.7,3.6256,206,
46.3,3.6432,207,
46.3,3.6608,208,
46.1,3.6784,209,
46.6,3.696,210,
46.8,3.7136,211,
46.8,3.7312,212,
46,3.7488,213,
46,3.7664,214,
46.2,3.784,215,
46.3,3.8016,216,
45.9,3.8192,217,
46.2,3.8368,218,
46.2,3.8544,219,
46.9,3.872,220,
46.4,3.8896,221,
46.4,3.9072,222,
45.1,3.9248,223,
44.7,3.9424,224,
45,3.96,225,
45,3.9776,226,
45,3.9952,227,
45.1,4.0128,228,
44.7,4.0304,229,
44.6,4.048,230,
44.6,4.0656,231,
45,4.0832,232,
45,4.1008,233,
45.2,4.1184,234,
45.4,4.136,235,
45.6,4.1536,236,
45.2,4.1712,237,
44.7,4.1888,238,
45,4.2064,239,
45,4.224,240,
45.3,4.2416,241,
45.3,4.2592,242,
45.4,4.2768,243,
45.9,4.2944,244,
45.6,4.312,245,
46,4.3296,246,
46.4,4.3472,247,
47.1,4.3648,248,
46.8,4.3824,249,
46.8,4.4,250,
45.8,4.4176,251,
45.8,4.4352,252,
45.4,4.4528,253,
45.6,4.4704,254,
45.6,4.488,255,
45.4,4.5056,256,
45.8,4.5232,257,
45.9,4.5408,258,
45.5,4.5584,259,
45.1,4.576,260,
45.5,4.5936,261,
45.9,4.6112,262,
45.7,4.6288,263,
45.7,4.6464,264,
45.8,4.664,265,
46.2,4.6816,266,
46.4,4.6992,267,
46.4,4.7168,268,
46.9,4.7344,269,
46.5,4.752,270,
46.5,4.7696,271,
47.1,4.7872,272,
47.8,4.8048,273,
47.7,4.8224,274,
46.9,4.84,275,
46.9,4.8576,276,
46.3,4.8752,277,
46.4,4.8928,278,
46.2,4.9104,279,
46.3,4.928,280,
46.9,4.9456,281,
46.9,4.9632,282,
46.9,4.9808,283,
45.8,4.9984,284,
45.7,5.016,285,
45.5,5.0336,286,
45.9,5.0512,287,
46.1,5.0688,288,
46.1,5.0864,289,
45.2,5.104,290,
44.9,5.1216,291,
45.9,5.1392,292,
45.4,5.1568,293,
45.6,5.1744,294,
45.6,5.192,295,
46,5.2096,296,
46.1,5.2272,297,
46.1,5.2448,298,
45.8,5.2624,299,
45.2,5.28,300,
45.1,5.2976,301,
45.4,5.3152,302,
45.9,5.3328,303,
45.9,5.3504,304,
45.5,5.368,305,
45.5,5.3856,306,
45.3,5.4032,307,
45.5,5.4208,308,
46.2,5.4384,309,
45.9,5.456,310,
45.9,5.4736,311,
45.9,5.4912,312,
45.9,5.5088,313,
45.6,5.5264,314,
46,5.544,315,
45.2,5.5616,316,
45.5,5.5792,317,
46.5,5.5968,318,
46.5,5.6144,319,
46.4,5.632,320,
46.1,5.6496,321,
46.1,5.6672,322,
46.4,5.6848,323,
46.8,5.7024,324,
46.6,5.72,325,
46.6,5.7376,326,
46.8,5.7552,327,
46.4,5.7728,328,
45.8,5.7904,329,
45.8,5.808,330,
45.8,5.8256,331,
46.3,5.8432,332,
46.7,5.8608,333,
46.7,5.8784,334,
46.7,5.896,335,
46.4,5.9136,336,
46.2,5.9312,337,
46.6,5.9488,338,
47,5.9664,339,
47,5.984,340,
47,6.0016,341,
47,6.0192,342,
46.9,6.0368,343,
46.1,6.0544,344,
45.9,6.072,345,
46.8,6.0896,346,
46.9,6.1072,347,
47.1,6.1248,348,
46.8,6.1424,349,
46.8,6.16,350,
46.5,6.1776,351,
46.9,6.1952,352,
46.9,6.2128,353,
46.3,6.2304,354,
45.4,6.248,355,
45.7,6.2656,356,
45.8,6.2832,357,
44.7,6.3008,358,
44.3,6.3184,359,
44.7,6.336,360,
44.7,6.3536,361,
44.9,6.3712,362,
45.1,6.3888,363,
45.4,6.4064,364,
45.4,6.424,365,
45.4,6.4416,366,
44.9,6.4592,367,
44.7,6.4768,368,
44.7,6.4944,369,
45.4,6.512,370,
45.4,6.5296,371,
45.5,6.5472,372,
45.9,6.5648,373,
45.6,6.5824,374,
44.8,6.6,375,
45,6.6176,376,
45.7,6.6352,377,
46,6.6528,378,
46.4,6.6704,379,
46.5,6.688,380,
46.3,6.7056,381,
46.2,6.7232,382,
46.2,6.7408,383,
45.8,6.7584,384,
45.8,6.776,385,
46.4,6.7936,386,
45.6,6.8112,387,
45.6,6.8288,388,
45.2,6.8464,389,
45.2,6.864,390,
45.8,6.8816,391,
45.8,6.8992,392,
46.4,6.9168,393,
46.4,6.9344,394,
45.8,6.952,395,
45.2,6.9696,396,
45.2,6.9872,397,
45.1,7.0048,398,
45.1,7.0224,399,
45.1,7.04,400,
45.4,7.0576,401,
46.8,7.0752,402,
46.8,7.0928,403,
46.2,7.1104,404,
45.3,7.128,405,
45.9,7.1456,406,
46.5,7.1632,407,
46.6,7.1808,408,
46.6,7.1984,409,
47.2,7.216,410,
47.2,7.2336,411,
47.2,7.2512,412,
46.7,7.2688,413,
46.5,7.2864,414,
46.8,7.304,415,
47.1,7.3216,416,
46.8,7.3392,417,
46.3,7.3568,418,
46.1,7.3744,419,
46.2,7.392,420,
46.2,7.4096,421,
46.4,7.4272,422,
46.4,7.4448,423,
46.2,7.4624,424,
46.2,7.48,425,
45.7,7.4976,426,
45.7,7.5152,427,
45.8,7.5328,428,
45.6,7.5504,429,
45.6,7.568,430,
45.6,7.5856,431,
46.1,7.6032,432,
44.7,7.6208,433,
44.7,7.6384,434,
44.9,7.656,435,
45.8,7.6736,436,
45.8,7.6912,437,
45.8,7.7088,438,
46.4,7.7264,439,
46.6,7.744,440,
46,7.7616,441,
46,7.7792,442,
45.4,7.7968,443,
45.4,7.8144,444,
45.5,7.832,445,
45.5,7.8496,446,
45.3,7.8672,447,
45.2,7.8848,448,
45.2,7.9024,449,
44.9,7.92,450,
45,7.9376,451,
45.5,7.9552,452,
45.5,7.9728,453,
45.8,7.9904,454,
45.4,8.008,455,
45.4,8.0256,456,
45.3,8.0432,457,
45.3,8.0608,458,
45.6,8.0784,459,
46.2,8.096,460,
45.8,8.1136,461,
45.8,8.1312,462,
45.8,8.1488,463,
45.8,8.1664,464,
45.6,8.184,465,
45.6,8.2016,466,
45.9,8.2192,467,
46.2,8.2368,468,
46.8,8.2544,469,
47.4,8.272,470,
46.5,8.2896,471,
45.3,8.3072,472,
45.4,8.3248,473,
45.4,8.3424,474,
46,8.36,475,
46,8.3776,476,
46.1,8.3952,477,
46.3,8.4128,478,
45.9,8.4304,479,
45.6,8.448,480,
45.8,8.4656,481,
46.4,8.4832,482,
46.4,8.5008,483,
46.4,8.5184,484,
46.7,8.536,485,
46.7,8.5536,486,
46.2,8.5712,487,
46.2,8.5888,488,
46.7,8.6064,489,
46.8,8.624,490,
46.5,8.6416,491,
46.8,8.6592,492,
46.7,8.6768,493,
46.7,8.6944,494,
46.7,8.712,495,
46.7,8.7296,496,
47,8.7472,497,
47.6,8.7648,498,
47.7,8.7824,499,
46.6,8.8,500,
45.7,8.8176,501,
45.7,8.8352,502,
45.7,8.8528,503,
45.7,8.8704,504,
45.7,8.888,505,
45.3,8.9056,506,
45.6,8.9232,507,
45.6,8.9408,508,
45.7,8.9584,509,
45,8.976,510,
44.5,8.9936,511,
45,9.0112,512,
45.2,9.0288,513,
45.5,9.0464,514,
45.5,9.064,515,
45.5,9.0816,516,
44.8,9.0992,517,
44.8,9.1168,518,
44.8,9.1344,519,
45.3,9.152,520,
45.2,9.1696,521,
45.3,9.1872,522,
45.9,9.2048,523,
45.7,9.2224,524,
45.4,9.24,525,
45.8,9.2576,526,
45.8,9.2752,527,
46.3,9.2928,528,
46.8,9.3104,529,
46.6,9.328,530,
46.1,9.3456,531,
45.8,9.3632,532,
45.8,9.3808,533,
45.6,9.3984,534,
45.6,9.416,535,
46,9.4336,536,
46,9.4512,537,
46.5,9.4688,538,
45.3,9.4864,539,
45.3,9.504,540,
45.3,9.5216,541,
45.9,9.5392,542,
45.7,9.5568,543,
45.9,9.5744,544,
45.9,9.592,545,
46.4,9.6096,546,
46.4,9.6272,547,
45.7,9.6448,548,
45.7,9.6624,549,
46.2,9.68,550,
45.8,9.6976,551,
46.3,9.7152,552,
47.2,9.7328,553,
46.8,9.7504,554,
46.4,9.768,555,
46.6,9.7856,556,
47.1,9.8032,557,
47.1,9.8208,558,
47.3,9.8384,559,
47.3,9.856,560,
47.2,9.8736,561,
46.8,9.8912,562,
46.8,9.9088,563,
