Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message
0.2692895,,,,1000,0,-0.048144531,-0.956835938,-0.030950556,0.021352599,0,-0.034699907,23.91199716,0,0,0,0,0,0,-0.039600236,-0.250230131,0.021352599,0.0625,-0.04091557,0,1,1,0.05,0,0,0,0,
0.27981325,,,,1000,0,-0.048242188,-0.956542969,-0.030934671,0.020850279,0,-0.0359428,26.12437642,0,0,0,0,0,0,-0.039542704,-0.250064498,0.020850279,0.0625,-0.043863949,0,1,1,0.05,0,0,0,0,
0.7755715,,,,1000,0,-0.048144531,-0.957421875,-0.030999438,0.020944764,0,-0.039122215,36.05325,0,0,0,0,0,0,-0.039324311,-0.250286869,0.020944764,0.0625,-0.040617562,0,1,1,0.05,0,0,0,0,
1.2788105,,,,1000,0,-0.04765625,-0.957226563,-0.030969621,0.021052367,0,-0.039672495,40.07225,0,0,0,0,0,0,-0.039389805,-0.250149449,0.021052367,0.0625,-0.040481221,0,1,1,0.15,0,0,0,0,
1.8805595,,,,1000,0,-0.048046875,-0.956835938,-0.030959839,0.020989415,0,-0.038608305,45.55499148,0,0,0,0,0,0,-0.039438885,-0.250131953,0.020989415,0.0625,-0.040223536,0,1,1,0,0,0,0,0,
2.47272225,,,,1000,0,-0.047851563,-0.956347656,-0.03096222,0.020787259,0,-0.039827861,45.35220881,0,0,0,0,0,0,-0.039315802,-0.250025075,0.020787259,0.0625,-0.040097087,0,1,1,0.05,0,0,0,0,
3.05358225,,,,1000,0,-0.048242188,-0.957421875,-0.030968004,0.021109221,0,-0.039721526,45.39959659,0,0,0,0,0,0,-0.039255171,-0.250003809,0.021109221,0.0625,-0.040009207,0,1,1,0.05,0,0,0,0,
3.66795225,,,,1000,0,-0.047851563,-0.957128906,-0.03088715,0.020672802,0,-0.040922058,46.21872443,0,0,0,0,0,0,-0.039771862,-0.24997026,0.020672802,0.0625,-0.040154809,0,1,1,0.1,0,0,0,0,
4.18919625,,,,1000,0,-0.047851563,-0.956542969,-0.030904439,0.020677139,0,-0.04063944,44.70675426,0,0,0,0,0,0,-0.039688688,-0.250004745,0.020677139,0.0625,-0.0402368,0,1,1,0.05,0,0,0,0,
4.802496,,,,1000,0,-0.047460938,-0.956933594,-0.030889915,0.020930398,0,-0.040218045,47.70836364,0,0,0,0,0,0,-0.03946083,-0.249678041,0.020930398,0.0625,-0.040271402,0,1,1,0,0,0,0,0,
5.40266575,,,,1000,0,-0.047558594,-0.958300781,-0.031004039,0.020933732,0,-0.040822773,45.30607102,0,0,0,0,0,0,-0.038990441,-0.249984308,0.020933732,0.0625,-0.040292816,0,1,1,0,0,0,0,0,
5.96885525,,,,1000,0,-0.0484375,-0.958496094,-0.030981497,0.020753751,0,-0.040488142,47,0,0,0,0,0,0,-0.039205315,-0.250045777,0.020753751,0.0625,-0.040346631,0,1,1,0.15,0,0,0,0,
6.53873675,,,,1000,0,-0.047851563,-0.956445313,-0.030919954,0.020840419,0,-0.039888568,45.45191335,0,0,0,0,0,0,-0.039504729,-0.249926366,0.020840419,0.0625,-0.040279127,0,1,1,0.1,0,0,0,0,
7.15562675,,,,1000,0,-0.048144531,-0.95703125,-0.030897017,0.020905731,0,-0.039160958,46.24182102,0,0,0,0,0,0,-0.039546913,-0.249812456,0.020905731,0.0625,-0.04015401,0,1,1,0,0,0,0,0,
7.719745,,,,1000,0,-0.048730469,-0.956933594,-0.030856853,0.020802109,0,-0.039748266,46.173125,0,0,0,0,0,0,-0.039677656,-0.249669869,0.020802109,0.0625,-0.040015298,0,1,1,0,0,0,0,0,
8.2082175,,,,1000,0,-0.046972656,-0.956640625,-0.030949932,0.021186247,0,-0.040066743,45.7127983,0,0,0,0,0,0,-0.039109591,-0.249735245,0.021186247,0.0625,-0.040013003,0,1,1,0,0,0,0,0,
8.71455725,,,,1000,0,-0.048535156,-0.95703125,-0.030974097,0.020955543,0,-0.040022551,46.7,0,0,0,0,0,0,-0.039128412,-0.249918514,0.020955543,0.0625,-0.040003874,0,1,1,0.05,0,0,0,0,
9.2926445,,,,1000,0,-0.047753906,-0.956835938,-0.03093958,0.020598844,0,-0.040696571,46.29558239,0,0,0,0,0,0,-0.03974523,-0.250300433,0.020598844,0.0625,-0.04009879,0,1,1,0,0,0,0,0,
9.80718175,,,,1000,0,-0.04765625,-0.956835938,-0.030942864,0.020751377,0,-0.040349863,47.1,0,0,0,0,0,0,-0.039494406,-0.250071955,0.020751377,0.0625,-0.040190615,0,1,1,0,0,0,0,0,
10.36075625,,,,1000,0,-0.048339844,-0.95703125,-0.030980153,0.021231261,0,-0.039852285,45.8,0,0,0,0,0,0,-0.039200139,-0.250031455,0.021231261,0.0625,-0.040130401,0,1,1,0.05,0,0,0,0,
10.9453285,,,,1000,0,-0.048339844,-0.956445313,-0.030959527,0.020715897,0,-0.039988103,45.37443466,0,0,0,0,0,0,-0.039287027,-0.249977978,0.020715897,0.0625,-0.04005353,0,1,1,0,0,0,0,0,
11.5588535,,,,1000,0,-0.048144531,-0.956933594,-0.030961861,0.021172197,0,-0.040329976,45.57651989,0,0,0,0,0,0,-0.039298385,-0.250005218,0.021172197,0.0625,-0.040126851,0,1,1,0.1,0,0,0,0,
12.18862375,,,,1000,0,-0.04765625,-0.956835938,-0.030998585,0.021045006,0,-0.040497138,46.18189631,0,0,0,0,0,0,-0.039493125,-0.250449877,0.021045006,0.0625,-0.040213802,0,1,1,0,0,0,0,0,
12.727743,,,,1000,0,-0.049023438,-0.957226563,-0.030925363,0.020908272,0,-0.040380215,46,0,0,0,0,0,0,-0.039687908,-0.250146359,0.020908272,0.0625,-0.040241039,0,1,1,0,0,0,0,0,
13.24620775,,,,1000,0,-0.04765625,-0.957421875,-0.03096566,0.020986583,0,-0.039563948,45.6,0,0,0,0,0,0,-0.039151685,-0.249884368,0.020986583,0.0625,-0.040181292,0,1,1,0.05,0,0,0,0,
13.77826925,,,,1000,0,-0.04765625,-0.957226563,-0.03101009,0.021186026,0,-0.038410425,46.71372443,0,0,0,0,0,0,-0.039142171,-0.250177219,0.021186026,0.0625,-0.039908649,0,1,1,0,0,0,0,0,
14.3242295,,,,1000,0,-0.047558594,-0.957324219,-0.030931362,0.020463337,0,-0.03927562,45.43699716,0,0,0,0,0,0,-0.039533382,-0.250032657,0.020463337,0.0625,-0.039794277,0,1,1,0.05,0,0,0,0,
14.83709975,,,,1000,0,-0.048535156,-0.957324219,-0.030908517,0.020081543,0,-0.038703509,46.69829688,0,0,0,0,0,0,-0.039558391,-0.249902196,0.020081543,0.0625,-0.039690663,0,1,1,0.1,0,0,0,0,
15.36572275,,,,1000,0,-0.047558594,-0.957617188,-0.030955508,0.02127945,0,-0.038593263,46.7895142,0,0,0,0,0,0,-0.039333828,-0.249997424,0.02127945,0.0625,-0.039447729,0,1,1,0.05,0,0,0,0,
15.892975,,,,1000,0,-0.048046875,-0.956738281,-0.030937572,0.021031078,0,-0.04088005,46.20198864,0,0,0,0,0,0,-0.039284931,-0.249826466,0.021031078,0.0625,-0.039643863,0,1,1,0.1,0,0,0,0,
16.3843065,,,,1000,0,-0.047167969,-0.956152344,-0.030961177,0.020741251,0,-0.039340112,46.34855398,0,0,0,0,0,0,-0.03899264,-0.249694818,0.020741251,0.0625,-0.039614146,0,1,1,0.05,0,0,0,0,
16.90433425,,,,1000,0,-0.048046875,-0.956835938,-0.030946914,0.02070635,0,-0.040714262,45.08941477,0,0,0,0,0,0,-0.039287871,-0.249892983,0.02070635,0.0625,-0.039755861,0,1,1,0.05,0,0,0,0,
17.45617475,,,,1000,0,-0.047265625,-0.957421875,-0.031004526,0.020827785,0,-0.037922953,46.91092188,0,0,0,0,0,0,-0.038860137,-0.24985732,0.020827785,0.0625,-0.039564073,0,1,1,0.1,0,0,0,0,
17.97783125,,,,1000,0,-0.048535156,-0.957421875,-0.030998937,0.02046478,0,-0.03873742,47.9,0,0,0,0,0,0,-0.039102326,-0.250061477,0.02046478,0.0625,-0.039385692,0,1,1,0,0,0,0,0,
18.490999,,,,1000,0,-0.048339844,-0.95703125,-0.031088665,0.020886285,0,-0.038875888,45.6,0,0,0,0,0,0,-0.038623704,-0.250193482,0.020886285,0.0625,-0.039279876,0,1,1,0.05,0,0,0,0,
19.06596025,,,,1000,0,-0.048046875,-0.957910156,-0.03101878,0.021267494,0,-0.036567101,46.4706804,0,0,0,0,0,0,-0.038787509,-0.249881693,0.021267494,0.0625,-0.039067296,0,1,1,0,0,0,0,0,
19.6199015,,,,1000,0,-0.048144531,-0.956933594,-0.03094305,0.020967654,0,-0.033228306,43.26300852,0,0,0,0,0,0,-0.039143335,-0.249722148,0.020967654,0.0625,-0.038055123,0,1,1,0,0,0,0,0,
20.15693375,,,,1000,0.000585938,-0.047167969,-0.957324219,-0.031063496,0.020719629,0,-0.037605466,38.59164063,0,0,1.79E-05,0,0,0,-0.038951218,-0.250349711,0.020719629,0.0625,-0.037986826,0,1,1,0.05,0,0,0,0,
20.7055265,,,,1000,0,-0.047949219,-0.956640625,-0.030921232,0.020893387,0,-0.033857744,46.9,0,0,0.000169357,0,0,0,-0.039406948,-0.249837281,0.020893387,0.0625,-0.037598928,0,1,1,0.05,0,0,0,0,
21.24286025,,,,1000,0,-0.047558594,-0.956835938,-0.030994387,0.02062588,0,-0.026097457,44.30772159,0,0,0,0,0,0,-0.039072536,-0.250000721,0.02062588,0.0625,-0.035921803,0,1,1,0.1,0,0,0,0,
21.76725875,,,,1000,0,-0.047851563,-0.956542969,-0.030932226,0.020472238,0,-0.026757774,38.7,0,0,0,0,0,0,-0.039289121,-0.249794274,0.020472238,0.0625,-0.034529914,0,1,1,0,0,0,0,0,
22.27673125,,,,1000,0,-0.048144531,-0.95703125,-0.031018355,0.02136543,0,-0.027170813,37.16168324,0,0,0,0,0,0,-0.038872893,-0.249964189,0.02136543,0.0625,-0.033326476,0,1,1,0.15,0,0,0,0,
22.75575775,,,,1000,0,-0.048632813,-0.957128906,-0.030955445,0.0209531,0,-0.032797685,34.53553125,0,0,0,0,0,0,-0.039430121,-0.250093289,0.0209531,0.0625,-0.033151236,0,1,1,0.05,0,0,0,0,
23.2454305,,,,1000,0,-0.048535156,-0.958203125,-0.030907803,0.020437172,0,-0.033648317,40,0,0,0,0,0,0,-0.039695359,-0.250034303,0.020437172,0.0625,-0.033205732,0,1,1,0.05,0,0,0,0,
23.73406675,,,,1000,0,-0.048046875,-0.95703125,-0.030974098,0.020482463,0,-0.032835945,43.48408807,0,0,0,0,0,0,-0.03906668,-0.249856787,0.020482463,0.0625,-0.033245046,0,1,1,0.05,0,0,0,0,
24.272517,,,,1000,0,-0.048144531,-0.959472656,-0.030995617,0.020507995,0,-0.040105061,41.74811364,0,0,0,0,0,0,-0.039151902,-0.250088455,0.020507995,0.062695313,-0.033965778,0,1,1,0.1,0,0,0,0,
24.86709475,,,,1000,-0.000292969,-0.048242188,-0.958984375,-0.030957575,0.021033581,0,-0.044545857,49.08062216,0,0,0,0,0,0,-0.039243373,-0.249921039,0.021033581,0.064453125,-0.035707361,0,1,1,0,0,0,0,0,
25.46516275,,,,1000,0,-0.047460938,-0.958007813,-0.030945124,0.021588844,0,-0.042470728,47.85787642,0,0,0,0,0,0,-0.039508461,-0.250101388,0.021588844,0.064355469,-0.03695912,0,1,1,0.05,0,0,0,0,
25.96907525,,,,1000,0,-0.048535156,-0.960058594,-0.031044179,0.021125988,0,-0.04219011,49.20625568,0,0,0,0,0,0,-0.038801424,-0.250068456,0.021125988,0.063964844,-0.037706209,0,1,1,0,0,0,0,0,
26.4681625,,,,1000,0,-0.047167969,-0.958105469,-0.031064042,0.020724308,0,-0.042506545,47.48728693,0,0,0,0,0,0,-0.038558426,-0.24996064,0.020724308,0.063671875,-0.038450882,0,1,1,0.05,0,0,0,0,
27.07426325,,,,1000,-0.00078125,-0.047558594,-0.959570313,-0.031043654,0.02117179,0,-0.042962625,49.8,0,0,0,0,0,0,-0.038913252,-0.250176714,0.02117179,0.064160156,-0.03914882,0,1,1,0.05,0,0,0,0,
27.72075575,,,,1000,0,-0.048242188,-0.957617188,-0.031032451,0.02089967,0,-0.042804975,47.41717614,0,0,0,0,0,0,-0.038868128,-0.25005535,0.02089967,0.0640625,-0.039876309,0,1,1,0.05,0,0,0,0,
28.26454525,,,,1000,0,-0.047851563,-0.958007813,-0.030988063,0.020948386,0,-0.042971131,48.58202131,0,0,0,0,0,0,-0.039373002,-0.250258148,0.020948386,0.063378906,-0.040351822,0,1,1,0.1,0,0,0,0,
28.8552835,,,,1000,0,-0.048046875,-0.958496094,-0.030990601,0.020921619,0,-0.042930168,48.69905114,0,0,0,0,0,0,-0.039149445,-0.250051866,0.020921619,0.063867188,-0.040830577,0,1,1,0,0,0,0,0,
29.4557085,,,,1000,-0.000488281,-0.047460938,-0.958886719,-0.030985509,0.020896618,0,-0.041494746,49.18594034,0,0,0,0,0,0,-0.039325452,-0.250193214,0.020896618,0.063476563,-0.040893084,0,1,1,0.1,0,0,0,0,
30.06595925,,,,1000,0,-0.047167969,-0.957226563,-0.030917462,0.02089932,0,-0.042431495,48.1,0,0,0,0,0,0,-0.039764072,-0.250168749,0.02089932,0.063574219,-0.041208696,0,1,1,0,0,0,0,0,
30.61499125,,,,1000,0,-0.048730469,-0.961132813,-0.030953993,0.021137263,0,-0.042600916,48.5,0,0,0,0,0,0,-0.039508115,-0.250161404,0.021137263,0.063574219,-0.041394166,0,1,1,0,0,0,0,0,
31.20322925,,,,1000,0,-0.0484375,-0.958398438,-0.030943076,0.020980148,0,-0.042174837,48.9535483,0,0,0,0,0,0,-0.039362808,-0.2499418,0.020980148,0.064453125,-0.041557308,0,1,1,0.1,0,0,0,0,
31.72635925,,,,1000,0,-0.047558594,-0.96015625,-0.030919394,0.021300318,0,-0.042851586,48.70978551,0,0,0,0,0,0,-0.039439872,-0.249857704,0.021300318,0.064453125,-0.041687999,0,1,1,0.05,0,0,0,0,
32.26523925,,,,1000,-0.00078125,-0.047949219,-0.958984375,-0.03092251,0.020974296,0,-0.043551969,50.6,0,0,0,0,0,0,-0.039286918,-0.249725949,0.020974296,0.064453125,-0.041989722,0,1,1,0.05,0,0,0,0,
32.8872435,,,,1000.14091,-0.000488281,-0.046777344,-0.958203125,-0.030955627,0.021262243,0,-0.042702412,48.13735227,0,0,0,0,0,0,-0.039314807,-0.249979216,0.021262243,0.064453125,-0.04212255,0,1,1,0.05,0,0,0,0,
33.4486605,,,,1003.312619,-0.000585938,-0.047460938,-0.959179688,-0.031003579,0.021371675,0,-0.043447775,49.80158523,0,0,0,0,0,0,-0.039174485,-0.250165225,0.021371675,0.064453125,-0.042351532,0,1,1,0.1,0,0,0,0,
34.00370425,,,,1007.931821,0,-0.047753906,-0.958886719,-0.030949342,0.021255954,0,-0.04268889,48.20573011,0,0,0,0,0,0,-0.039528174,-0.250149809,0.021255954,0.064453125,-0.042420976,0,1,1,0.1,0,0,0,0,
34.5736505,,,,1012.686506,-0.001171875,-0.046484375,-0.960058594,-0.030943615,0.021089869,0,-0.042989424,48.95282386,0,0,0,0,0,0,-0.039259922,-0.249842581,0.021089869,0.064453125,-0.042557077,0,1,1,0.05,0,0,0,0,
35.11856925,,,,1017.234448,0,-0.047851563,-0.956640625,-0.0309389,0.020976058,0,-0.043899906,48.44930114,0,0,0,0,0,0,-0.039217524,-0.249768097,0.020976058,0.064257813,-0.042657137,0,1,1,0.1,0,0,0,0,
35.65605025,,,,1021.715475,0,-0.047558594,-0.961035156,-0.030934423,0.021008901,0,-0.043754156,50.3911946,0,0,0,0,0,0,-0.039204202,-0.249724308,0.021008901,0.064160156,-0.042936792,0,1,1,0.15,0,0,0,0,
36.19542875,,,,1026.20396,0,-0.048339844,-0.957128906,-0.030953505,0.02104824,0,-0.042880896,48.1,0,0,0,0,0,0,-0.039168382,-0.24981835,0.02104824,0.064257813,-0.042914905,0,1,1,0.05,0,0,0,0,
